PC1,PC2,source,week
-7.769572030755127,-6.930217288378113,df4,9
-6.330493202047008,-9.387372510274352,df4,9
-5.2472835944459915,-8.51874529643223,df4,9
-5.671360668987681,-4.380019586643984,df4,9
-5.860866544864839,-2.804852925785772,df4,9
-1.7561110055260396,-1.4058430629720462,df4,9
-6.432820397191581,-2.577543172223735,df4,9
-1.4682537319497118,-8.22783385386184,df4,9
-6.610195733284604,-3.0387849794250363,df4,9
-7.528873837617587,-7.612151298827105,df4,9
-6.772636654625018,-3.987840951526274,df4,9
-5.2732936976215905,1.7046446786220164,df4,9
-7.931716072873731,-9.101508613860757,df4,9
-6.948740307011306,-5.763285174260092,df4,9
-5.195536631515084,1.897698021793755,df4,9
-6.4890250325783505,-3.7012093939131216,df4,9
-7.3516512203983675,-9.575574098235823,df4,9
-7.292346568840902,-8.377871723241915,df4,9
-7.609467278646991,-7.50695064003731,df4,9
-7.4881510271437275,-8.490356703967246,df4,9
-7.922406590982417,-9.092257805778415,df4,9
-6.540237803229937,-7.856357884589497,df4,9
-6.338485562795171,-8.43136378520618,df4,9
-4.244547961356011,2.8046299205638747,df4,9
-7.540391774331235,-7.907363032737716,df4,9
-7.713035651679565,-7.903779681340742,df4,9
-6.074151784763715,-7.905514653809877,df4,9
3.929549139361966,-8.764155513953554,df4,9
21.416738155239507,-5.061053412758641,df4,9
-6.53662526663067,-3.2443787793320533,df4,9
-7.40476382320778,-7.005663941205077,df4,9
-8.074941659334474,-9.821698110646734,df4,9
-6.497196125453483,-8.5776857127553,df4,9
-7.989713190276641,-9.138619320920554,df4,9
-5.785784633005756,0.5262806669446466,df4,9
-7.89595843730327,-8.798585013563027,df4,9
-8.112570345192054,-8.936432927841771,df4,9
-4.6151685153424,1.516936417547033,df4,9
-6.6455819853952125,-8.183724289416828,df4,9
-6.666116340582297,-0.07519876892322865,df4,9
-8.041075309143473,-9.247206684659247,df4,9
-6.510907077723273,-1.4507650791313922,df4,9
-6.516681113652726,-3.378277583585641,df4,9
-6.0340528722827855,-2.1271827285554976,df4,9
-6.573027650170197,-2.9024373211223002,df4,9
-6.470077887273033,-4.906276623485416,df4,9
-5.805986694321776,-1.0817370425402348,df4,9
-5.741274067715117,-0.758669990122722,df4,9
-7.913623967261611,-8.8219592016906,df4,9
-6.013726402773313,-8.588907832066036,df4,9
124.78621745623624,5.707463894891456,df4,9
-4.946777998733273,3.3728334850980732,df4,9
-6.9684812643377665,-9.374017051440463,df4,9
-4.914525202954724,1.0896779995118782,df4,9
-6.519161406745222,-2.8994653182473096,df4,9
-5.528207849036664,0.5263058676162458,df4,9
-6.596617339516986,-3.481946168330333,df4,9
35.170837652474376,-3.468410061897229,df4,9
-6.794104142441461,-8.617513389774818,df4,9
-4.337226863110369,4.740172390593651,df4,9
-5.868607689057442,-0.6572978647061946,df4,9
-4.659974892732783,6.672610050787913,df4,9
-6.534973110761452,-3.3444669364479216,df4,9
-4.739618490032169,2.9659713029377035,df4,9
-5.5440057819967254,1.5085532332151568,df4,9
-5.461127189973122,0.03331804291441051,df4,9
-7.902674517919672,-8.119494795599993,df4,9
-5.947666375205203,-8.69914138392685,df4,9
-5.492762790811915,1.3903586660043112,df4,9
30.499968577463058,-3.8416428041232664,df4,9
4.230554018871969,-8.94468327382414,df4,9
-4.423716421382613,2.96389010314755,df4,9
35.37770978761322,-3.5438419527603076,df4,9
-7.2679667970247355,-4.6376263467669485,df4,9
-5.501134833102917,-1.596069573455324,df4,9
35.739853758349945,-5.4768862296758165,df4,9
-8.089226754585088,-8.411777245069088,df4,9
75.684402408566,4.3649451041827945,df4,9
-5.8076691067738295,-1.5693164991394764,df4,9
-3.244135858730797,10.146476371294202,df4,9
27.569691724641196,-5.431620805454214,df4,9
-7.882427367166545,-8.984011542930117,df4,9
-6.049690301540661,-4.772084568380298,df4,9
-7.970100315974081,-8.119490280205413,df4,9
-8.024496911869575,-8.85702288737957,df4,9
-7.81437926273884,-9.261854512701108,df4,9
1.3815034668670587,-9.688633280052915,df4,9
-6.933549511614383,-3.4293966279197114,df4,9
-6.967182379727524,-3.9342140756411745,df4,9
-7.375279284583719,-5.825204082268316,df4,9
-5.395658257425476,-3.022024295924643,df4,9
31.39467090444579,-6.844073691656168,df4,9
7.012499695489085,-9.265306607874386,df4,9
-5.744275451794862,0.19760780828885857,df4,9
-0.36775346244454116,0.7981863165793469,df4,9
-3.9908821496439453,5.518504812091308,df4,9
-7.996239793635071,-9.147099148531648,df4,9
-5.652260183177494,0.6655282847271164,df4,9
-5.504545178420432,-2.7632928687667513,df4,9
-6.693719796487984,-4.3447925379434365,df4,9
-5.808510933807807,-1.0919838932057486,df4,9
69.84178763824563,-4.414848022539622,df4,9
-0.06616307808106277,-9.796628640077731,df4,9
51.58104499645259,-4.8265445531963715,df4,9
-5.8892886595638485,-0.04736993904497735,df4,9
52.18543780610805,-2.091812879289266,df4,9
-2.6339152323184183,-8.344875942623407,df4,9
15.050339305960001,-9.401760462923743,df4,9
-7.955767512684558,-8.628440165982951,df4,9
-6.545281594055574,-2.5138545762888183,df4,9
32.895749033894504,-1.588329195974582,df4,9
-6.8161325167584055,-5.562833356302559,df4,9
-6.397790166048115,-3.362659752281486,df4,9
-5.411764113854982,-0.2695921961319576,df4,9
-7.758656154000937,-9.518410267077204,df4,9
-6.933201164212144,-4.374962168847323,df4,9
23.785038618869837,-5.59207198674106,df4,9
-6.593419164481141,-7.948088391871933,df4,9
-5.239994206817859,-5.2351879260874,df4,9
-6.198388003777009,-9.05910112174551,df4,9
-3.6789354307196116,6.483886630303547,df4,9
-5.828220781263429,-0.8327542701194152,df4,9
37.389999588526386,-7.51408997278576,df4,9
1.1837399580273236,-9.878309088196993,df4,9
-4.081753281616451,-7.113872977387181,df4,9
-4.094968095016457,0.4638889836715133,df4,9
37.91343766812727,-4.576853225055572,df4,9
-4.588893718898396,2.7391766544810574,df4,9
-6.216820960823614,-9.334785533992138,df4,9
-0.8056048676329735,-6.735040597137432,df4,9
-6.031125571680469,-2.25843587414547,df4,9
-7.933067214515362,-9.378383828976474,df4,9
-8.041847404387537,-8.951718691349942,df4,9
-7.884246410558774,-8.438844618471993,df4,9
-0.3707653768796873,-9.589746805054606,df4,9
-6.433017725173019,-0.9442335473540083,df4,9
-5.477210220418384,-0.5230037355122006,df4,9
21.341733212575658,-7.099784853819131,df4,9
-7.6234847095438525,-7.028956790503937,df4,9
-6.8010400880780955,-7.356480580197387,df4,9
-5.857747732863729,-0.9251941711151015,df4,9
-4.882973972075672,2.1919860532438715,df4,9
-5.343421922082104,-0.15305876082422992,df4,9
-7.992122928666113,-8.775831175651348,df4,9
39.26915551152155,-4.327697940364882,df4,9
37.671519084047155,-3.6714534984618514,df4,9
35.37627018040079,-6.023772925889476,df4,9
-3.0944385441359716,11.393700130361305,df4,9
